0,100,81,99,61,111,16,76,67,84,102,0
100,0,97,98,41,93,97,92,48,51,9,100
81,97,0,19,66,36,66,6,51,47,92,81
99,98,19,0,74,18,84,23,58,47,92,99
61,41,66,74,0,77,56,61,17,34,42,61
111,93,36,18,77,0,97,38,60,45,86,111
16,97,66,84,56,97,0,60,59,73,98,16
76,92,6,23,61,38,60,0,46,43,88,76
67,48,51,58,17,60,59,46,0,18,45,67
84,51,47,47,34,45,73,43,18,0,45,84
102,9,92,92,42,86,98,88,45,45,0,102
0,100,81,99,61,111,16,76,67,84,102,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
